,flux
2236.17663376,30267200.6429
2236.19706614,30264784.9371
2236.21749842,30264689.9179
2236.2379307,30261994.2303
2236.25836298,30261606.3163
2236.27879516,30261684.0742
2236.29922754,30262985.4241
2236.31965982,30259895.1483
2236.3400921,30263777.0331
2236.36052428,30260583.6052
2236.38095665,30258184.6846
2236.40138893,30261864.3433
2236.4218211,30262146.5548
2236.44225348,30260200.3517
2236.46268575,30255070.1833
2236.48311793,30255147.1691
2236.5035503,30252693.086
2236.52398257,30250332.5906
2236.54441475,30249658.201
2236.56484712,30248747.9928
2236.58527939,
2236.60571156,30251630.6953
2236.62614393,30252824.4552
2236.6465762,30251410.6786
2236.66700847,30250195.9928
2236.68744074,30248968.3165
2236.707873,30249264.5595
2236.72830527,30248717.8201
2236.74873754,30248138.4784
2236.7691698,30258466.3958
2236.78960207,30247271.8087
2236.81003443,30258310.3459
2236.8304666,30254306.551
2236.85089886,30250445.2106
2236.87133122,30251882.2194
2236.89176339,30254674.9457
2236.91219575,30259001.036
2236.93262801,30260131.1313
2236.95306017,30256697.7898
2236.97349253,30257453.1711
2236.99392469,30257968.1096
2237.01435695,30255070.1501
2237.03478931,30256976.5126
2237.05522147,30257630.7036
2237.07565373,30260494.7559
2237.09608608,30261058.5673
2237.11651824,30263379.8434
2237.1369505,30267715.0134
2237.15738285,30265182.1393
2237.17781511,30267536.7143
2237.19824726,30271527.7641
2237.21867961,30273072.8619
2237.23911187,30271905.9437
2237.25954402,30271908.1717
2237.27997637,30272961.1344
2237.30040862,30273235.9386
2237.32084077,30274067.4435
2237.34127312,30274290.2464
2237.36170537,30271695.8727
2237.38213752,30271255.2005
2237.40256987,30273706.4826
2237.42300212,30273377.766
2237.44343427,30272499.9622
2237.46386662,30272197.9167
2237.48429886,30274186.3476
2237.50473111,30273447.1544
2237.52516335,30270894.1405
2237.5455956,30271335.6649
2237.56602784,30269965.6404
2237.58646009,30269775.8683
2237.60689233,30267614.4347
2237.62732457,30262197.6492
2237.64775691,30261691.9214
2237.66818906,30261560.1494
2237.6886213,30263248.2349
2237.70905364,30261230.3294
2237.72948578,30254351.9046
2237.74991812,30253828.6499
2237.77035025,30252909.4093
2237.79078249,30250396.6952
2237.81121483,30247989.8565
2237.83164697,30245352.4653
2237.8520792,30242132.7581
2237.87251154,30243989.9487
2237.89294368,30248925.8139
2237.91337591,30249718.5031
2237.93380825,30254332.6452
2237.95424038,30252690.7845
2237.97467261,30253183.0394
2237.99510494,30254531.3285
2238.01553718,30252926.6827
2238.03596931,30254560.8992
2238.05640164,30256907.8205
2238.07683387,30260693.496
2238.097266,30259967.0659
2238.11769833,30262226.7028
2238.13813056,30262302.7319
2238.15856269,30261627.4767
2238.17899501,30267198.5527
2238.19942724,30260796.8288
2238.21985937,30269027.3348
2238.24029169,30267584.517
2238.26072392,30283740.5202
2238.28115604,30298495.1715
2238.30158837,30268075.6758
2238.32202059,30270248.0429
2238.34245282,30273402.2887
2238.36288504,30273023.0399
2238.38331726,30272710.2538
2238.40374948,30270998.9055
2238.4241817,30273476.8653
2238.44461393,30273212.9378
2238.46504615,30271473.5935
2238.48547836,30264868.1478
2238.50591058,30260647.5996
2238.5263429,30258853.2199
2238.54677502,
2238.56720724,30259325.9082
2238.58763955,30257743.4653
2238.60807167,30258065.2207
2238.62850389,30255748.1104
2238.6489362,30254673.3389
2238.66936832,30254648.6987
2238.68980053,30251442.606
2238.71023284,30251115.1179
2238.73066496,30249930.3768
2238.75109717,30250485.0818
2238.77152948,30252806.7184
2238.79196159,30255548.1956
2238.8123938,30260493.3862
2238.83282611,30265350.5162
2238.85325832,30266913.0139
2238.87369043,30270046.8348
2238.89412274,30272499.8301
2238.91455495,30273945.4906
2238.93498706,30275863.9072
2238.95541936,30272477.8156
2238.97585157,30272652.392
2238.99628368,30271116.525
2239.01671598,30273441.3596
2239.03714819,30275371.6948
2239.05758029,30277205.622
2239.07801259,30274215.5719
2239.0984448,30272658.6422
2239.1188769,30271007.2638
2239.1393092,30269765.2324
2239.1597414,30273146.0253
2239.18017361,30274290.3568
2239.20060581,30275958.0922
2239.22103801,30280769.9052
2239.24147021,30279762.1206
2239.2619024,30278751.5711
2239.2823346,30278000.1028
2239.3027668,30277372.9474
2239.323199,30273410.3172
2239.34363119,30271702.6749
2239.36406349,30270768.7122
2239.38449559,30266719.6701
2239.40492778,30266389.5432
2239.42536008,30263798.3714
2239.44579217,30265206.3327
2239.46622436,30266759.2618
2239.48665666,30264725.6043
2239.50708875,30264351.8163
2239.52752094,30263974.5203
2239.54795323,30265154.6875
2239.56838532,30270023.6623
2239.58881751,30269499.9224
2239.6092498,30267585.1175
2239.62968189,30270278.1834
2239.65011408,30273258.7556
2239.67054637,30275296.0973
2239.69097856,30278362.4709
2239.71141065,30279654.8448
2239.73184293,30282837.087
2239.75227512,30279971.2326
2239.7727072,30282670.6286
2239.79313949,30283720.9455
2239.81357167,30286436.3553
2239.83400376,30286861.0535
2239.85443604,30283113.2582
2239.87486822,30283092.9817
2239.89530031,30285626.6036
2239.91573259,30286565.8196
2239.93616477,30290109.6945
2239.95659685,30287202.3513
2239.97702913,30284143.7645
2239.99746131,30284300.871
2240.01789349,30283526.7824
2240.03832567,30283189.1184
2240.05875784,30286827.2994
2240.07919002,30284752.3041
2240.0996222,30280981.407
2240.12005438,30279004.7409
2240.14048655,30277662.7207
2240.16091873,30277773.0779
2240.1813509,30278991.4823
2240.20178318,30279183.5093
2240.22221525,30278695.1816
2240.24264742,30277109.863
2240.2630797,30274318.0995
2240.28351177,30274785.1247
2240.30394394,30276330.89
2240.32437621,30278491.2188
2240.34480828,30280615.2533
2240.36524045,30279512.9617
2240.38567272,30280468.1452
2240.40610479,30279026.3409
2240.42653696,30279433.0995
2240.44696923,30280805.1368
2240.4674013,30278800.2679
2240.48783346,30281977.7632
2240.50826573,
2240.52869789,30299703.0551
2240.54912996,30297058.2646
2240.56956222,30298460.4131
2240.58999439,30297930.7545
2240.61042645,30299500.9908
2240.63085872,30299930.0115
2240.65129088,30301080.4555
2240.67172294,30303394.9114
2240.6921552,30299090.6589
2240.71258736,30298745.4864
2240.73301952,30300386.7688
2240.75345169,30302904.6944
2240.77388384,30303631.4048
2240.794316,30302708.3063
2240.81474816,30304223.7027
2240.83518032,30302843.1296
2240.85561248,30305617.7748
2240.87604463,30302883.2683
2240.89647679,30303532.151
2240.91690895,30301788.8979
2240.9373411,30300993.1227
2240.95777326,30300327.8534
2240.97820541,30299021.2251
2240.99863757,30300316.0904
2241.01906972,30299063.4585
2241.0395019,
2241.05993407,
2241.08036625,
2241.10079843,30295674.4416
2241.12123048,30293319.3659
2241.14166263,30293897.936
2241.16209488,30291428.4554
2241.18252693,30288656.8241
2241.20295908,30287729.2961
2241.22339132,30288125.5855
2241.24382337,30287565.3968
2241.26425552,30290961.3683
2241.28468777,30294333.05
2241.30511981,30295159.1579
2241.32555196,30296551.8471
2241.3459842,30297372.8
2241.36641635,30298405.5035
2241.38684839,30299399.4191
2241.40728063,30299922.2885
2241.42771278,30300304.5775
2241.44814492,30301027.9955
2241.46857706,30300766.0523
2241.4890091,30300857.1194
2241.50944134,30297817.1425
2241.52987348,30298163.8948
2241.55030562,30297594.4388
2241.57073776,30300261.2023
2241.5911699,30301181.0039
2241.61160194,30302584.2634
2241.63203418,30303574.8366
2241.65246631,30306140.9698
2241.67289835,30307910.0267
2241.69333059,30308064.3798
2241.71376272,30306245.4791
2241.73419486,30308634.3457
2241.75462699,30309448.483
2241.77505913,30308787.5802
2241.79549126,30309779.0654
2241.81592339,30305833.8166
2241.83635553,30303766.7604
2241.85678766,30300027.7241
2241.87721989,30300361.262
2241.89765192,30299225.1442
2241.91808405,30296689.5257
2241.93851628,30292509.917
2241.95894831,30289892.0817
2241.97938044,30289068.2147
2241.99981267,30288037.2553
2242.0202447,30287611.8769
2242.04067683,30284032.5739
2242.06110905,30283538.3741
2242.08154108,30283606.9497
2242.10197321,30285361.0139
2242.12240543,30287130.7185
2242.14283746,30287324.8038
2242.16326968,30288382.7663
2242.1837018,30287667.0017
2242.20413393,30288044.8531
2242.22456605,30291663.2207
2242.24499817,30297419.9938
2242.26543029,30299055.6881
2242.28586242,30299886.038
2242.30629454,30305229.3531
2242.32672656,30307198.1417
2242.34715878,30307596.0318
2242.3675909,30311799.6333
2242.38802291,30311212.3613
2242.40845513,30311324.214
