,flux
2249.45750797,30365411.3555
2249.47793992,30366476.3103
2249.49837188,30366539.4119
2249.51880383,30371834.4125
2249.53923578,30373368.4019
2249.55966774,30376887.1641
2249.58009969,30362764.6545
2249.60053164,30363460.9332
2249.6209636,30361316.4679
2249.64139555,30365083.8252
2249.6618275,30370000.2859
2249.68225945,30373228.1637
2249.7026914,30373741.539
2249.72312335,30377991.6703
2249.7435553,30378289.1049
2249.76398715,30370624.4299
2249.7844192,30368038.9392
2249.80485114,30367619.673
2249.82528299,30363036.962
2249.84571504,30355125.923
2249.86614699,30354151.4429
2249.88657893,30349632.8852
2249.90701088,30347532.3976
2249.92744282,30347758.9046
2249.94787477,30348019.6306
2249.96830671,30348281.3394
2249.98873866,30348830.3224
2250.0091706,30350817.176
2250.02960265,30352174.4522
2250.05003449,30352855.7993
2250.07046653,30351089.1005
2250.09089847,30347552.582
2250.11133032,30346467.3693
2250.13176236,30347058.2714
2250.1521943,30343970.509
2250.17262614,30344733.0823
2250.19305818,30345307.6847
2250.21349012,30349234.5526
2250.23392196,30352017.7653
2250.254354,30353888.7692
2250.27478594,30358537.7846
2250.29521787,30362047.097
2250.31564981,
2250.33608175,30354007.3788
2250.35651368,30354239.0822
2250.37694562,30357551.2575
2250.39737756,30357027.4575
2250.41780949,30358627.6316
2250.43824143,30357945.5952
2250.45867336,30359712.2588
2250.4791052,30358233.9338
2250.49953723,30356076.8978
2250.51996916,30356423.6562
2250.540401,30355325.4183
2250.56083303,30352419.787
2250.58126496,30349205.3102
2250.60169679,30348139.9943
2250.62212882,30345600.5456
2250.64256075,30348318.0811
2250.66299278,30351194.7553
2250.68342461,30351981.6143
2250.70385654,30354675.6179
2250.72428857,30356167.2048
2250.7447204,30361208.6919
2250.76515233,30363126.2824
2250.78558436,30365030.5623
2250.80601618,30368598.5953
2250.82644811,30370051.7373
2250.84688014,30367192.7174
2250.86731206,30360195.0432
2250.88774389,30359392.6958
2250.90817591,30359878.0749
2250.92860784,30358628.1983
2250.94903966,30358028.189
2250.96947169,30356137.0922
2250.98990361,30358578.7321
2251.01033544,30359496.9198
2251.03076746,30369226.9116
2251.05119938,30358150.5489
2251.0716312,30360607.6197
2251.09206322,30364630.0331
2251.11249514,30365278.1877
2251.13292707,30368262.1146
2251.15335899,30369662.6004
2251.17379091,30370591.2629
2251.19422282,30362976.5266
2251.21465474,30361704.1742
2251.23508666,30364770.7651
2251.25551858,30364756.9491
2251.2759505,30375974.9332
2251.29638242,30359437.2081
2251.31681433,30364301.8691
2251.33724625,30363757.9894
2251.35767817,30363527.6586
2251.37811018,30365845.4805
2251.398542,30372728.6925
2251.41897391,30377616.8682
2251.43940593,30378937.8547
2251.45983774,30371556.3436
2251.48026965,30376595.2488
2251.50070167,30367707.7071
2251.52113348,30368557.1245
2251.54156539,30366281.3926
2251.5619974,30366104.4937
2251.58242922,30374919.0428
2251.60286113,30381403.1778
2251.62329314,30381570.3481
2251.64372495,30375431.1633
2251.66415686,30412121.8105
2251.68458887,30364115.312
2251.70502078,30362472.1042
2251.72545269,30363723.8672
2251.74588459,30363490.7467
2251.7663165,30372543.5511
2251.78674841,30362985.9396
2251.80718032,30363152.1611
2251.82761222,30364822.1231
2251.84804413,30361909.3642
2251.86847604,30368531.3219
2251.88890794,30369265.5315
2251.90933985,30366764.8998
2251.92977175,30370050.2385
2251.95020365,30366621.8765
2251.97063556,30366236.5053
2251.99106746,30366353.8204
2252.01149927,30370206.5044
2252.03193127,30373915.8351
2252.05236317,30375386.0548
2252.07279507,30378361.6029
2252.09322697,30376280.8691
2252.11365887,30372715.3732
2252.13409077,30369749.5797
2252.15452268,30369696.2216
2252.17495457,30370997.8328
2252.19538647,30368965.3235
2252.21581847,30369601.6721
2252.23625027,30373319.8148
2252.25668217,30382373.1358
2252.27711417,
2252.29754597,30368005.348
2252.31797796,30368702.2532
2252.33840986,30372655.7849
2252.35884165,30374944.9056
2252.37927365,30375301.337
2252.39970555,30379445.109
2252.42013734,30378450.8404
2252.44056934,30371204.5463
2252.46100123,30369970.8257
2252.48143302,30361026.6841
2252.50186502,30352118.6404
2252.52229691,30353054.416
2252.5427288,30358093.2875
2252.56316069,30356149.0954
2252.58359259,30355336.6798
2252.60402448,30355687.8423
2252.62445637,30359064.8724
2252.64488826,30364820.3015
2252.66532015,30368093.8928
2252.68575204,30371282.3586
2252.70618393,30375672.9866
2252.72661572,30379614.6281
2252.74704771,30391090.2448
2252.76747959,30394510.4999
2252.78791138,30367654.9832
2252.80834337,30367830.8938
2252.82877526,30367845.3081
2252.84920724,30371630.7396
2252.86963903,30371152.7978
2252.89007091,30367664.6625
2252.9105029,30364942.5645
2252.93093468,30368059.9415
2252.95136657,30372433.9558
2252.97179855,30371438.636
2252.99223034,30372728.9626
2253.01266222,30372353.397
2253.0330942,30369834.4953
2253.05352609,30368995.4049
2253.07395787,30369115.3093
2253.09438985,30371363.3151
2253.11482173,30370329.9927
2253.13525351,30378151.761
2253.15568549,30374525.712
2253.17611737,30377316.1701
2253.19654915,30371032.3459
2253.21698113,30363615.8374
2253.23741301,30361068.648
2253.25784479,30352510.9854
2253.27827677,30357557.1961
2253.29870865,30353685.1379
2253.31914043,30348910.4533
2253.3395724,30354186.4098
2253.36000428,30359174.6501
2253.38043616,30358304.2915
2253.40086803,30358243.2808
2253.42129991,30356597.9519
2253.44173178,30358532.7138
2253.46216366,30361303.117
2253.48259553,30364630.1617
2253.50302741,30362611.4063
2253.52345928,30362993.7244
2253.54389115,30367192.7153
2253.56432312,30371903.445
2253.5847549,30372154.3813
2253.60518677,30373380.157
2253.62561874,30375922.1016
2253.64605051,30377950.4624
2253.66648238,30375850.049
2253.68691435,30370751.8807
2253.70734612,30374950.1578
2253.72777799,30410347.4401
2253.74820996,30365130.1977
2253.76864173,30361213.6789
2253.7890736,30364389.8362
2253.80950557,30368738.2574
2253.82993734,30369323.2808
2253.8503692,30366371.8002
2253.87080117,30366261.1376
2253.89123304,30368346.0944
2253.9116649,30367638.2355
2253.93209677,30370020.9305
2253.95252864,30372953.5932
2253.9729605,30370961.2179
2253.99339237,30368004.2775
2254.01382423,30373148.7867
2254.03425619,30371854.1825
2254.05468796,30372200.8402
2254.07511982,30371253.0133
2254.09555168,30369610.0311
2254.11598355,30369550.7802
2254.13641531,30372460.4307
2254.15684727,30375726.7816
2254.17727913,30382024.0059
2254.19771089,30387686.3369
2254.21814285,30385159.3438
2254.23857471,
2254.25900657,30366681.2345
2254.27943843,30368574.3162
2254.29987029,30369290.4884
2254.32030215,30369075.7586
2254.34073401,30368470.844
2254.36116586,30368035.6264
2254.38159772,30369639.9466
2254.40202968,30370949.3212
2254.42246144,30372605.5878
2254.44289339,30370669.0608
2254.46332525,30371458.4734
2254.483757,30372959.6226
2254.50418896,30376692.6839
2254.52462081,30374674.4398
2254.54505257,30376785.1414
2254.56548452,30379318.2444
2254.58591638,30382747.5374
2254.60634813,30378974.1233
2254.62678008,30377313.0671
2254.64721194,30374588.4318
2254.66764369,30375222.4546
2254.68807564,30377001.8794
2254.70850749,30375698.6457
2254.72893934,30395289.215
2254.74937119,30380350.5948
2254.76980304,30378027.1746
2254.79023489,30380876.5638
2254.81066674,30382899.8362
2254.83109859,30383811.5674
2254.85153044,30385256.7722
2254.87196229,30386181.7191
2254.89239414,30387378.0395
2254.91282599,30386118.7823
2254.93325783,30387380.9283
2254.95368968,30385850.3242
2254.97412163,30381853.278
2254.99455337,30370936.3876
2255.01498522,30370287.2768
2255.03541716,30367353.8104
2255.05584891,30364885.9489
2255.07628075,30369497.4748
2255.0967127,30369025.3093
2255.11714444,30369474.1963
2255.13757629,30369333.2598
2255.15800823,30368869.9454
2255.17843997,30375070.4975
2255.19887181,30375868.687
2255.21930376,30376442.2338
2255.2397356,30377578.0803
2255.26016734,30376909.6652
2255.28059928,30386269.9032
2255.30103112,30383805.1373
2255.32146286,30381779.0263
2255.3418948,30373395.2461
2255.36232664,30369692.2844
2255.38275838,30370067.8612
2255.40319032,30363159.9669
2255.42362216,30357576.5136
2255.4440541,30368976.081
2255.46448583,30361646.5684
2255.48491767,30377072.5268
2255.50534951,30383145.4624
2255.52578134,30385837.6507
2255.54621318,30389778.3435
2255.56664502,30390834.4469
2255.58707685,30393182.0284
2255.60750869,30400922.8754
2255.62794052,30402646.773
2255.64837236,30405466.9504
2255.66880419,30406030.9526
2255.68923602,30397408.3264
2255.70966786,30392680.3978
2255.73009969,30391363.9292
2255.75053152,30390131.9281
2255.77096336,30391835.7431
2255.79139519,30392022.6688
2255.81182712,30396079.0346
2255.83225885,30392476.8524
2255.85269068,30395316.7993
2255.87312261,30395014.7633
2255.89355434,30399998.3397
2255.91398627,30337472.2737
2255.9344181,29933822.8002
2255.95484983,30270377.5785
2255.97528176,30387737.3319
2255.99571359,30376405.651
2256.01614531,30374924.1781
2256.03657724,30375867.0941
2256.05700907,30375428.0141
2256.0774409,30371821.6505
2256.09787272,30373222.049
2256.11830455,30375482.9975
2256.13873637,30377715.8629
2256.1591682,30377075.0793
2256.17960002,30377355.0554
2256.20003185,
2256.22046367,30395296.6378
2256.2408955,30380319.686
2256.26132732,30374155.5078
2256.28175914,30372424.5579
2256.30219097,30370747.9874
2256.32262279,30373348.3127
2256.34305461,30375721.6082
2256.36348643,30384868.9587
2256.38391836,30383157.1005
2256.40435008,30388613.6007
2256.4247819,30390094.553
2256.44521382,30393412.7292
2256.46564554,30394314.1491
2256.48607736,30398825.733
2256.50650928,30401363.3761
2256.526941,30400604.3818
2256.54737281,30398668.8524
2256.56780473,30396461.0922
2256.58823645,30398287.5813
2256.60866827,30402056.6298
2256.62910019,30405555.3586
2256.649532,30407477.3341
2256.66996372,30408033.2885
2256.69039564,30407137.0252
2256.71082745,30409687.8829
2256.73125917,30409920.3234
2256.75169108,30407618.4471
2256.7721229,30405112.7762
2256.79255461,30402487.265
2256.81298653,30399071.3114
2256.83341834,30394345.4734
2256.85385025,30386879.2939
2256.87428197,30382527.4841
2256.89471378,30378981.0765
2256.91514569,30401857.2294
2256.9355774,30367119.5927
2256.95600921,30370073.0826
2256.97644113,30366117.817
2256.99687284,30369954.86
2257.01730465,30371850.7953
2257.03773646,30373247.4907
2257.05816827,30372741.693
2257.07860008,30375283.721
2257.09903189,30382160.853
2257.11946369,30382928.5498
2257.1398955,30385148.8123
2257.16032741,30383668.2802
2257.18075912,30385904.6683
2257.20119093,30392244.2629
2257.22162283,30395738.1368
2257.24205454,30396096.2033
2257.26248635,30397733.8066
2257.28291825,30397835.2976
2257.30334996,30400643.3212
2257.32378186,30403677.1682
2257.34421367,30403397.154
2257.36464537,30405894.2169
2257.38507728,30408489.229
2257.40550908,30407821.1144
2257.42594079,30407476.3964
2257.44637269,30406150.1437
2257.46680449,30400179.3812
2257.48723629,30396358.692
2257.5076681,30394422.6946
2257.5280999,30393369.9901
2257.5485317,30395782.5461
2257.5689636,30395336.9856
2257.5893953,30389834.8194
2257.6098271,30380713.6183
2257.630259,30379820.5368
2257.6506907,30387197.3927
2257.6711225,30357048.6252
2257.6915544,30370421.5095
2257.7119861,30366559.1472
2257.7324179,30368920.4873
2257.7528497,30371143.3383
2257.77328149,30368130.7229
2257.79371339,30369551.2016
2257.81414509,30373327.522
2257.83457689,30374834.8001
2257.85500878,30374492.1278
2257.87544048,30379162.2015
2257.89587228,30385432.0689
2257.91630417,30390850.8443
2257.93673587,30394869.5306
2257.95716766,30395376.7666
2257.97759955,30394078.3589
2257.99803135,30384428.2448
2258.01846304,30384137.4198
2258.03889494,30386936.9996
2258.05932673,30389974.0216
2258.07975842,30394312.6422
2258.10019031,30402539.0081
2258.12062211,30401642.4149
2258.1410538,30027555.1584
2258.16148569,
2258.18191748,30408423.7029
2258.20234917,30406621.0125
2258.22278106,30409433.7017
2258.24321285,30411817.7671
2258.26364474,30411763.9046
2258.28407643,30410307.5569
2258.30450822,30404906.8163
2258.32494011,30397402.6095
2258.3453718,30392840.7406
2258.36580359,30388194.0477
2258.38623547,30385163.3926
2258.40666726,30377646.8761
2258.42709895,30371251.4779
2258.44753084,30376146.4529
2258.46796262,30374348.0432
2258.48839431,30374174.8627
2258.50882619,30375852.1514
2258.52925788,30377194.1427
2258.54968966,30379452.2929
2258.57012155,30380374.1577
2258.59055323,30380412.1584
2258.61098502,30381803.2088
2258.6314169,30380441.0488
2258.65184858,30385028.4566
2258.67228037,30385589.6679
2258.69271225,30395227.0338
2258.71314393,30392408.5762
2258.73357582,30392815.9147
2258.7540076,30389098.1963
2258.77443928,30391870.474
2258.79487116,30391497.088
2258.81530294,30390132.6596
2258.83573472,30382054.8569
2258.8561665,30383220.0571
2258.87659828,30398587.3742
2258.89703006,30386846.1927
2258.91746184,30381210.8675
2258.93789362,30385561.5654
2258.9583254,30412489.5223
2258.97875728,30389122.6485
2258.99918895,30386993.1856
2259.01962073,30391079.3009
2259.04005261,30398428.028
2259.06048429,30397124.6483
2259.08091606,30395797.522
2259.10134794,30392458.9157
2259.12177961,30394814.3028
2259.14221139,30393590.1316
2259.16264327,30390334.1974
2259.18307494,30394921.9018
2259.20350681,30394797.993
2259.22393859,30394860.0062
2259.24437026,30395253.579
2259.26480214,30396654.0294
2259.28523381,30398272.4894
2259.30566558,30397470.1588
2259.32609746,30397515.8376
2259.34652923,30395163.6
2259.3669609,30392132.6043
2259.38739277,30390142.8728
2259.40782454,30385359.1951
2259.42825622,30382307.5173
2259.44868809,30370471.7363
2259.46911986,30366975.2582
2259.48955153,30365798.102
2259.5099834,30366730.0755
2259.53041517,30369633.6849
2259.55084684,30369491.8329
2259.5712787,30370162.4686
2259.59171047,30367114.5866
2259.61214234,30330918.1709
2259.63257401,30330603.0864
2259.65300578,30375002.4144
2259.67343764,30377937.2978
2259.69386931,30381102.6066
2259.71430108,30382568.0679
2259.73473294,30390944.2244
2259.75516461,30395669.3673
2259.77559638,30403435.1659
2259.79602824,30404880.1933
2259.81646001,30406486.5863
2259.83689167,30409692.8233
2259.85732354,30411128.2889
2259.8777553,30411672.1472
2259.89818696,30413238.1778
2259.91861883,30414631.5537
2259.93905059,30412944.3125
2259.95948225,30416102.8548
2259.97991412,30417990.8232
2260.00034578,30418102.6381
2260.02077754,30422950.7544
2260.0412094,30412244.2301
2260.06164106,30409774.7062
2260.08207292,30405634.0551
2260.10250469,30402074.793
2260.12293635,
2260.14336821,30387035.1768
2260.16379997,30384770.3716
2260.18423173,30384516.1653
2260.20466348,30383147.026
2260.22509524,30379914.5111
2260.245527,30382386.0707
2260.26595876,30384085.7808
2260.28639052,30385905.8198
2260.30682228,30389054.0725
2260.32725413,30393193.3722
2260.34768579,30394011.853
2260.36811755,30396262.5745
2260.3885494,30399442.9236
2260.40898106,30401495.2707
2260.42941281,30404251.593
2260.44984467,30406130.4948
2260.47027633,30410244.392
2260.49070808,30412964.9691
2260.51113993,30413961.1937
2260.53157159,30416204.482
2260.55200344,30418719.6765
2260.5724352,30421010.8368
2260.59286685,30425805.62
2260.6132987,30430857.242
2260.63373046,30430179.102
2260.65416221,30433218.9013
2260.67459396,30430890.3115
2260.69502571,30429162.3234
2260.71545746,30431392.0532
2260.73588921,30426903.7677
2260.75632097,30420904.3455
2260.77675262,30418984.3408
2260.79718447,30423209.9932
2260.81761622,30420096.4854
2260.83804787,30383936.3527
2260.85847972,30389860.7946
2260.87891146,30400230.3532
2260.89934311,30398884.2499
2260.91977496,30395894.2847
2260.94020671,30394153.3479
2260.96063836,30389729.5177
2260.98107021,30387911.9548
2261.00150195,30391759.682
2261.0219338,30393641.8052
2261.04236545,30391555.3346
2261.06279719,30390521.3848
2261.08322904,30392434.2619
2261.10366068,30391555.0712
2261.12409243,30395214.2335
2261.14452427,30396368.0137
2261.16495602,30398677.6463
2261.18538766,30399503.5391
2261.20581951,30401092.108
2261.22625125,30404967.575
2261.2466829,30411938.5387
2261.26711474,30415703.1325
2261.28754648,30417755.9733
2261.30797813,30422304.7067
2261.32840997,30423596.2486
2261.34884171,30425751.4049
2261.36927335,30430100.4546
2261.38970519,30430845.6629
2261.41013683,30433433.5472
2261.43056868,30434288.8784
2261.45100042,30434228.0546
2261.47143206,30436814.7614
2261.4918639,30434797.0964
2261.51229564,30429829.1837
2261.53272738,30430806.7538
2261.55315912,30430881.2868
2261.57359085,30432314.0963
2261.59402259,30423197.9789
2261.61445433,30413636.2522
2261.63488607,30411441.8519
2261.65531781,30411627.8437
2261.67574964,30415362.1435
2261.69618128,30417821.2668
2261.71661302,30419546.9078
2261.73704486,30414618.1109
2261.75747649,30413514.3668
2261.77790823,30401457.3697
2261.79834006,30409887.7434
2261.8187717,30401727.156
2261.83920353,30400298.6118
2261.85963527,30398965.1043
2261.8800669,30402120.4658
2261.90049874,30403999.4023
2261.92093047,30405580.0605
2261.94136211,30402249.5743
2261.96179394,30400385.2538
2261.98222567,30398342.4502
2262.0026574,30404267.3306
2262.02308914,30408278.1653
2262.04352087,30408515.4033
2262.0639526,30410562.2931
2262.08438433,
2262.10481606,30419630.3087
2262.1252478,30412613.8819
2262.14567953,30415110.2658
2262.16611126,30418942.64
2262.18654289,30418764.7267
2262.20697472,30421452.7193
2262.22740645,30422645.2414
2262.24783828,30425955.7352
2262.2682699,30425077.0836
2262.28870163,30420339.8596
2262.30913346,30428120.2064
2262.32956509,30429851.6027
2262.34999682,30428538.718
2262.37042865,30429142.9461
2262.39086027,30431620.0007
2262.411292,30430235.2148
2262.43172383,30428114.0774
2262.45215545,30424682.1453
2262.47258718,30422247.9996
2262.49301901,30417278.2458
2262.51345073,30415187.9733
2262.53388236,30415415.8753
2262.55431418,30419422.5942
2262.57474591,30415903.4861
2262.59517753,30413471.3436
2262.61560936,30412260.5328
2262.63604108,30410615.62
2262.6564728,30407147.3372
2262.67690453,30407192.7434
2262.69733625,30406387.7572
2262.71776807,30409434.3499
2262.7381997,30410187.009
2262.75863142,30410241.8675
2262.77906314,30414564.341
2262.79949486,30416363.2497
2262.81992658,30416889.2615
2262.8403583,30415594.8688
2262.86079003,30419956.8161
2262.88122175,30421264.4287
2262.90165347,30423701.3718
2262.92208519,30426879.5042
2262.94251691,30427478.0977
2262.96294863,30429197.312
2262.98338034,30430823.8203
2263.00381206,30432522.6115
2263.02424378,30438223.1752
2263.0446755,30441320.2294
2263.06510732,30442868.1192
2263.08553904,30439974.8115
2263.10597065,30443195.1394
2263.12640247,30444873.3719
2263.14683419,30449079.4123
2263.16726581,30450768.4708
2263.18769762,30452056.324
2263.20812934,30453060.2611
2263.22856095,30453412.1242
2263.24899277,30453372.3407
2263.26942449,30452300.065
2263.2898561,30456085.2934
2263.31028792,30448891.8968
2263.33071963,30445332.0025
2263.35115134,30444174.2377
2263.37158306,30441481.6311
2263.39201477,30440531.1145
2263.41244649,30437031.4646
2263.4328782,30437838.3215
2263.45330991,30435724.2656
2263.47374172,30431929.5818
2263.49417334,30429370.2601
2263.51460505,30425342.6219
2263.53503686,30423607.6372
2263.55546857,30421659.5286
2263.57590018,30419576.5685
2263.59633199,30412016.0174
2263.61676361,30415794.2058
2263.63719532,30415860.6637
2263.65762713,30416358.0348
2263.67805874,30416149.836
2263.69849045,30414571.8286
2263.71892226,30417217.599
2263.73935386,30417060.8569
2263.75978557,30421870.6916
2263.78021738,30427411.6795
2263.80064899,30423944.8242
2263.8210808,30426249.8457
2263.84151251,30426311.9311
2263.86194411,30425646.9727
2263.88237592,30425915.6906
2263.90280763,30428976.7421
2263.92323933,30432092.648
2263.94367104,30428941.9069
2263.96410275,30430536.4991
2263.98453445,30432923.1297
2264.00496626,30431878.922
2264.02539786,30432693.9986
2264.04582957,
2264.06626137,30429225.9969
2264.08669298,30422179.2964
2264.10712468,30421855.0852
2264.12755649,30419991.7276
2264.14798809,30420277.7113
2264.1684198,30419429.61
2264.1888516,30416471.6331
2264.2092832,30417426.7932
2264.229715,30417538.6343
2264.25014671,30415671.9189
2264.27057831,30415236.3094
2264.29101011,30415236.2056
2264.31144171,30411685.8696
2264.33187342,30415584.8988
2264.35230522,30416119.0978
2264.37273682,30416181.2584
2264.39316852,30418261.6381
2264.41360032,30417820.0292
2264.43403202,30419640.5199
2264.45446362,30420033.9738
2264.47489542,30417610.1394
2264.49532712,30418323.9366
2264.51575872,30417864.1781
2264.53619052,30417283.1532
2264.55662221,30416448.8725
2264.57705381,30417861.4587
2264.59748561,30422660.4763
2264.61791731,30427641.8408
2264.63834911,30426542.8223
2264.6587807,30429181.0397
2264.6792124,30429242.4368
2264.6996442,30430193.2538
2264.72007579,30433032.2611
2264.74050749,30433188.381
2264.76093929,30432017.7168
2264.78137088,30432308.1737
2264.80180258,30432071.6511
2264.82223437,30431231.6913
2264.84266607,30427477.7201
2264.86309766,30428462.2754
2264.88352946,30428189.2872
2264.90396115,30428075.1039
2264.92439275,30429559.9658
2264.94482454,30427585.397
2264.96525623,30422965.8122
2264.98568793,30422581.3226
2265.00611962,30425659.0435
2265.02655121,30425418.995
2265.04698301,30426442.5745
2265.0674147,30428558.6493
2265.08784629,30424671.8877
2265.10827808,30425355.5655
2265.12870977,30424970.8888
2265.14914137,30426413.1972
2265.16957316,30425260.5908
2265.19000485,30429826.435
2265.21043644,30427808.4702
2265.23086823,30424872.1726
2265.25129992,
2265.27173161,30428356.8541
2265.2921633,30429080.1137
2265.31259499,30430177.0566
2265.33302668,30426701.1335
2265.35345836,30424090.0041
2265.37389005,30427834.0789
2265.39432184,30430757.3335
2265.41475353,30434199.4963
2265.43518512,30432952.1865
2265.45561691,30427733.4924
2265.47604859,30426729.6818
2265.49648018,30433644.8769
2265.51691197,30435900.312
2265.53734365,30437520.8054
2265.55777524,30437801.7097
2265.57820703,30440171.2721
2265.59863871,30439456.4836
2265.6190703,30440032.4418
2265.63950208,30440871.9045
2265.65993377,30443586.7203
2265.68036545,30442095.0053
2265.70079714,30444622.3403
2265.72122882,30448569.7305
2265.74166051,30449963.0851
2265.76209219,30450509.0934
2265.78252387,30450834.3507
2265.80295556,30450793.4357
2265.82338724,30449689.477
2265.84381892,30447579.5813
2265.86425061,30446167.177
2265.88468229,30443203.8512
2265.90511397,30443552.1608
2265.92554575,30439823.0696
2265.94597733,30438023.8698
2265.96640902,30436947.3261
2265.9868408,30434922.4459
2266.00727238,
2266.02770406,30455651.1104
2266.04813584,30436159.4791
2266.06856742,30438554.5395
2266.0889991,
2266.10943088,30441889.5019
2266.12986246,30446231.4425
2266.15029424,30449101.4756
2266.17072592,30451928.4175
2266.1911575,30454474.517
2266.21158927,30455203.719
2266.23202095,30455908.2491
2266.25245263,30455345.9332
2266.27288431,30455451.312
2266.29331599,30458745.6407
2266.31374766,30461049.8358
2266.33417934,30462951.8045
2266.35461102,30464883.1988
2266.3750427,30465998.398
2266.39547437,30471622.6217
2266.41590605,30470962.1011
2266.43633772,30471070.1012
2266.4567694,30469619.0705
2266.47720108,30470687.6343
2266.49763275,30467797.3438
2266.51806443,30463847.885
2266.5384961,30462535.5797
2266.55892788,30466855.0978
2266.57935945,30459153.5396
2266.59979112,30458403.7353
2266.6202229,30455341.7294
2266.64065447,30453516.4582
2266.66108615,30452755.9935
2266.68151792,30450761.8859
2266.70194949,30457944.613
2266.72238116,30457862.1836
2266.74281294,30439705.609
2266.76324461,30432775.305
2266.78367618,30429956.8124
2266.80410795,30432839.3152
2266.82453962,30434065.1714
2266.8449712,30454129.5933
2266.86540297,30431580.0391
2266.88583464,30435283.5007
2266.90626641,30439151.646
2266.92669798,30439957.8252
2266.94712965,30438057.1556
2266.96756142,30438666.2962
2266.98799299,30436834.8131
2267.00842466,30437780.9598
2267.02885643,30438495.7907
2267.049288,30438090.2318
2267.06971967,30436226.2627
2267.09015144,30438266.16
2267.110583,30436340.9033
2267.13101467,30438974.3216
2267.15144644,30443559.1917
2267.17187801,30447670.9268
2267.19230968,30451845.8967
2267.21274134,30454774.403
2267.23317301,30458404.3365
2267.25360478,30457714.9759
2267.27403644,30459984.15
2267.29446801,30459984.8938
2267.31489978,30462222.8359
2267.33533144,30467122.7039
2267.35576301,30470077.9931
2267.37619477,30472056.2302
2267.39662644,30471342.4555
2267.417058,30472231.7845
2267.43748977,30470180.9035
2267.45792143,30469402.3626
2267.478353,30469148.6202
2267.49878476,30464554.3895
2267.51921643,30465027.3708
2267.53964799,30465893.9462
2267.56007975,30468177.7576
2267.58051142,30467022.2312
2267.60094318,30463773.2096
2267.62137474,30460754.173
2267.64180641,30461860.2377
2267.66223817,30459578.1883
2267.68266973,30456279.2916
2267.70310139,30455699.8333
2267.72353315,30454441.1774
2267.74396482,30448750.4429
2267.76439638,30445326.369
2267.78482814,30442332.8651
2267.8052598,30443010.057
2267.82569136,30445370.0685
2267.84612312,30449189.856
2267.86655478,30448914.2376
2267.88698634,30445834.9146
2267.9074181,30447478.142
2267.92784966,30443553.3529
2267.94828132,30445224.6669
2267.96871308,
2267.98914464,30453756.6739
2268.0095764,30454348.2442
2268.03000805,30456175.8527
2268.05043961,30459918.3274
2268.07087137,30462340.201
2268.09130303,30467247.6508
2268.11173469,30468986.4173
2268.13216634,30471106.3189
2268.152598,30472012.6838
2268.17302966,30471892.0739
2268.19346132,30477774.7679
2268.21389297,30479146.0996
2268.23432463,30478755.1685
2268.25475628,30477196.9736
2268.27518794,30480094.3347
2268.2956196,30480961.444
2268.31605135,30481503.9131
2268.33648291,30481630.1588
2268.35691466,30480568.7552
2268.37734632,30482535.2781
2268.39777787,30483969.7778
2268.41820963,30483813.585
2268.43864128,30483589.7267
2268.45907283,30484954.2638
2268.47950459,30481714.1639
2268.49993624,30480058.6637
2268.5203678,30477511.9184
2268.54079955,30475827.9152
2268.5612312,30471220.5333
2268.58166286,30470210.855
2268.60209451,30465432.3307
2268.62252616,30461333.8287
2268.64295771,30456387.0365
2268.66338946,30452469.4337
2268.68382112,30450785.6955
2268.70425277,30450210.3243
2268.72468442,30448349.4678
2268.74511607,30450147.3924
2268.76554782,30454260.8092
2268.78597937,30458495.3458
2268.80641102,30463307.8505
2268.82684277,30466894.159
2268.84727432,30471040.6346
2268.86770597,30471950.2532
2268.88813772,30474884.6339
2268.90856927,30480456.0864
2268.92900092,30480086.9432
2268.94943267,30481906.731
2268.96986422,30481926.9784
2268.99029587,30485112.7539
2269.01072762,30489971.8733
2269.03115917,30489425.0264
2269.05159091,30490918.2428
2269.07202256,30493222.5864
2269.09245411,30494542.8292
2269.11288586,30491868.251
2269.1333175,30494623.7853
2269.15374915,30496140.4778
2269.1741808,30494873.8709
2269.19461245,30494989.3313
2269.21504409,30496910.994
2269.23547584,30498303.3885
2269.25590738,30499976.0717
2269.27633903,30499888.1166
2269.29677068,30495827.278
2269.31720232,30495667.8081
2269.33763407,30491459.2206
2269.35806561,30486891.9202
2269.37849726,30487267.499
2269.398929,30485623.5753
2269.41936055,30485216.5004
2269.43979219,30485855.032
2269.46022393,30487395.0564
2269.48065548,30487229.4359
2269.50108712,30487595.4622
2269.52151887,30486560.1433
2269.54195041,30483908.4148
2269.56238205,30482612.2326
2269.5828138,30482957.4243
2269.60324544,30485881.4424
2269.62367698,30483450.6288
2269.64410872,30483766.2359
2269.66454037,30486665.9493
2269.68497201,30484221.411
2269.70540365,30485088.6887
2269.72583529,30482991.5414
2269.74626703,30479670.6246
2269.76669857,30479932.1734
2269.78713021,30476811.2678
2269.80756196,30477471.5294
2269.8279935,30473662.5418
2269.84842514,30474084.9291
2269.86885688,30481114.6846
2269.88928842,30468184.7137
2269.90972006,30460972.2739
2269.9301518,
2269.95058334,30470400.0655
2269.97101498,30470088.2538
2269.99144671,30466520.0619
2270.01187825,30464636.4523
2270.03230999,30466796.9584
2270.05274153,30465603.5509
2270.07317317,30464549.2533
2270.09360491,30466902.0628
2270.11403645,30465087.1833
2270.13446808,30468626.2955
2270.15489982,30466196.1927
