,pl_hostname,st_optmag,pl_radj,pl_bmassj,pl_def_refname,pl_disc_refname,pl_pelink
1028,Kepler-223,15.344,0.267,0.02328,Mills et al. 2016,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-223_b/
831,Kepler-223,15.344,0.467,0.02517,Mills et al. 2016,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-223_d/
1869,Kepler-276,15.368,0.259,0.052,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-276_c/
2949,Kepler-276,15.368,0.25,0.051,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-276_d/
1724,Kepler-53,15.386,0.283,15.74,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-53_c/
185,Kepler-53,15.386,0.258,18.41,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-53_b/
112,Kepler-30,15.403,0.785,0.073,Sanchis-Ojeda et al. 2012,Sanchis-Ojeda et al. 2012,http://exoplanet.eu/catalog/kepler-30_d/
3039,Kepler-30,15.403,0.348,0.036,Sanchis-Ojeda et al. 2012,Sanchis-Ojeda et al. 2012,http://exoplanet.eu/catalog/kepler-30_b/
111,Kepler-30,15.403,1.097,2.01,Sanchis-Ojeda et al. 2012,Sanchis-Ojeda et al. 2012,http://exoplanet.eu/catalog/kepler-30_c/
1710,Kepler-428,15.405,1.08,1.27,H&eacute,brard et al. 2014,http://exoplanet.eu/catalog/koi-830_b/
2342,CoRoT-17,15.46,1.02,2.43,Csizmadia et al. 2011,Csizmadia et al. 2011,http://exoplanet.eu/catalog/corot-17_b/
104,Kepler-26,15.473,0.248,0.01611,Jontof-Hutter et al. 2016,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-26_b/
2886,Kepler-26,15.473,0.243,0.01951,Jontof-Hutter et al. 2016,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-26_c/
3393,K2-95,15.498,0.31,0.03458,Obermeier et al. 2016,Obermeier et al. 2016,http://exoplanet.eu/catalog/k2-95_b/
1329,CoRoT-12,15.515,1.44,0.917,Gillon et al. 2010,Gillon et al. 2010,http://exoplanet.eu/catalog/corot-12_b/
1703,Kepler-413,15.52,0.388,0.211,Kostov et al. 2014,Kostov et al. 2014,http://exoplanet.eu/catalog/kepler-413_%28ab%29_b/
1338,CoRoT-27,15.54,1.007,10.39,Parviainen et al. 2014,Parviainen et al. 2014,http://exoplanet.eu/catalog/corot-27_b/
1332,CoRoT-16,15.63,1.17,0.535,Ollivier et al. 2012,Ollivier et al. 2012,http://exoplanet.eu/catalog/corot-16_b/
1335,CoRoT-23,15.63,1.05,2.8,Rouan et al. 2012,Rouan et al. 2012,http://exoplanet.eu/catalog/corot-23_b/
2963,Kepler-328,15.674,0.482,0.124,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-328_c/
1970,Kepler-328,15.674,0.205,0.09,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-328_b/
2510,K2-33,15.714,0.45,3.7,Mann et al. 2016,David et al. 2016,http://exoplanet.eu/catalog/k2-33_b/
1987,OGLE-TR-132,15.72,1.2,1.18,Torres et al. 2008,Bouchy et al. 2004,http://exoplanet.eu/catalog/ogle-tr-132_b/
156,Kepler-35,15.726,0.728,0.127,Welsh et al. 2012,Welsh et al. 2012,http://exoplanet.eu/catalog/kepler-35_%28ab%29_b/
1725,Kepler-55,15.791,0.217,1.49,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-55_b/
190,Kepler-55,15.791,0.197,1.11,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-55_c/
1928,Kepler-305,15.812,0.321,0.033,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-305_b/
1929,Kepler-305,15.812,0.294,0.019,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-305_c/
187,Kepler-54,15.847,0.187,0.92,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-54_b/
188,Kepler-54,15.847,0.11,0.37,Steffen et al. 2013,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-54_c/
107,Kepler-27,15.855,0.437,13.8,Steffen et al. 2012,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-27_c/
106,Kepler-27,15.855,0.357,9.11,Steffen et al. 2012,Steffen et al. 2012,http://exoplanet.eu/catalog/kepler-27_b/
1786,WTS-2,15.9,1.363,1.12,Birkby et al. 2014,Birkby et al. 2014,http://exoplanet.eu/catalog/wts-2_b/
1331,CoRoT-14,16.033,1.09,7.6,Tingley et al. 2011,Tingley et al. 2011,http://exoplanet.eu/catalog/corot-14_b/
2198,WTS-1,16.13,1.49,4.01,Cappetta et al. 2012,Cappetta et al. 2012,http://exoplanet.eu/catalog/wts-1_b/
115,Kepler-32,16.452,0.196,4.1,Fabrycky et al. 2012,Fabrycky et al. 2012,http://exoplanet.eu/catalog/kepler-32_b/
116,Kepler-32,16.452,0.178,0.5,Fabrycky et al. 2012,Fabrycky et al. 2012,http://exoplanet.eu/catalog/kepler-32_c/
169,Kepler-45,16.88,0.96,0.505,Johnson et al. 2012,Johnson et al. 2012,http://exoplanet.eu/catalog/kepler-45_b/
1760,POTS-1,17.94,0.941,2.31,Koppenhoefer et al. 2013,Koppenhoefer et al. 2013,http://exoplanet.eu/catalog/pots-1_b/
1999,SWEEPS-4,18.8,0.81,3.8,"Sahu et al., 2006","Sahu et al., 2006",http://exoplanet.eu/catalog/sweeps-04_/
984,TRAPPIST-1,18.8,0.094,0.00434,Gillon et al. 2017,Gillon et al. 2016,http://exoplanet.eu/catalog/trappist-1_c/
3440,TRAPPIST-1,18.8,0.093,0.00214,Gillon et al. 2017,Gillon et al. 2016,http://exoplanet.eu/catalog/trappist-1_f/
3441,TRAPPIST-1,18.8,0.101,0.00422,Gillon et al. 2017,Gillon et al. 2016,http://exoplanet.eu/catalog/trappist-1_g/
983,TRAPPIST-1,18.8,0.097,0.00267,Gillon et al. 2017,Gillon et al. 2016,http://exoplanet.eu/catalog/trappist-1_b/
985,TRAPPIST-1,18.8,0.069,0.00129,Gillon et al. 2017,Gillon et al. 2016,http://exoplanet.eu/catalog/trappist-1_d/
3439,TRAPPIST-1,18.8,0.082,0.00195,Gillon et al. 2017,Gillon et al. 2016,http://exoplanet.eu/catalog/trappist-1_e/
2000,SWEEPS-11,19.83,1.13,9.7,"Sahu et al., 2006","Sahu et al., 2006",http://exoplanet.eu/catalog/sweeps-11_/
