,pl_hostname,st_optmag,pl_radj,pl_bmassj,pl_def_refname,pl_disc_refname,pl_pelink
2503,HATS-26,12.955,1.75,0.65,Espinoza et al. 2016,Espinoza et al. 2016,http://exoplanet.eu/catalog/hats-26_b/
3248,HAT-P-66,12.993,1.59,0.783,Hartman et al. 2016,Hartman et al. 2016,http://exoplanet.eu/catalog/hat-p-66_b/
1777,WASP-59,13,0.775,0.863,Hebrard et al. 2013,Hebrard et al. 2013,http://exoplanet.eu/catalog/wasp-59_b/
2460,Kepler-419,13.005,0.96,2.5,Dawson et al. 2014,Dawson et al. 2014,http://exoplanet.eu/catalog/kepler-419_b/
1350,HAT-P-28,13.03,1.212,0.626,Buchhave et al. 2011,Buchhave et al. 2011,http://exoplanet.eu/catalog/hat-p-28_b/
3329,Kepler-48,13.04,0.182,0.025,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-48_d/
174,Kepler-48,13.04,0.242,0.04597,Marcy et al. 2014,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-48_c/
1720,Kepler-48,13.04,0.168,0.0124,Marcy et al. 2014,Steffen et al. 2013,http://exoplanet.eu/catalog/kepler-48_b/
2117,WASP-57,13.04,1.05,0.644,Southworth et al. 2015,Faedi et al. 2013,http://exoplanet.eu/catalog/wasp-57_b/
2502,HATS-25,13.097,1.26,0.613,Espinoza et al. 2016,Espinoza et al. 2016,http://exoplanet.eu/catalog/hats-25_b/
2828,WASP-89,13.1,1.04,5.9,Hellier et al. 2015,Hellier et al. 2015,http://exoplanet.eu/catalog/wasp-89_b/
3316,HATS-31,13.105,1.64,0.88,de Val-Barro et al. 2016,de Val-Barro et al. 2016,http://exoplanet.eu/catalog/hats-31_b/
236,KOI-142,13.11,0.337,0.027,Nesvorny et al. 2013,Nesvorny et al. 2013,http://exoplanet.eu/catalog/kepler-88_b/
2207,HATS-10,13.113,0.969,0.526,Brahm et al. 2015,Brahm et al. 2015,http://exoplanet.eu/catalog/hats-10_b/
3247,HAT-P-65,13.145,1.89,0.527,Hartman et al. 2016,Hartman et al. 2016,http://exoplanet.eu/catalog/hat-p-65_b/
3401,WASP-92,13.18,1.461,0.805,Hay et al. 2016,Hay et al. 2016,http://exoplanet.eu/catalog/wasp-92_b/
1347,HAT-P-25,13.19,1.19,0.567,Quinn et al. 2010,Quinn et al. 2010,http://exoplanet.eu/catalog/hat-p-25_b/
2266,HAT-P-55,13.207,1.182,0.582,Juncher et al. 2015,Juncher et al. 2015,http://exoplanet.eu/catalog/hat-p-55_b/
1553,HAT-P-37,13.23,1.178,1.169,Bakos et al. 2012,Bakos et al. 2012,http://exoplanet.eu/catalog/hat-p-37_b/
2206,HATS-9,13.276,1.065,0.837,Brahm et al. 2015,Brahm et al. 2015,http://exoplanet.eu/catalog/hats-9_b/
1126,WASP-135,13.28,1.3,1.9,Spake et al. 2015,Spake et al. 2015,http://exoplanet.eu/catalog/wasp-135_b/
1763,Qatar-2,13.3,1.254,2.494,Mancini et al. 2014,Bryan et al. 2011,http://exoplanet.eu/catalog/qatar-2_b/
137,Kepler-6,13.303,1.304,0.668,Esteves et al. 2015,Dunham et al. 2010,http://exoplanet.eu/catalog/kepler-6_b/
275,Kepler-76,13.308,1.36,2.01,Esteves et al. 2015,Faigler et al. 2013,http://exoplanet.eu/catalog/kepler-76_b/
24,HAT-P-43,13.356,1.281,0.662,Boisse et al. 2013,Boisse et al. 2013,http://exoplanet.eu/catalog/hat-p-43_b/
136,Kepler-5,13.369,1.426,2.111,Esteves et al. 2015,Koch et al. 2010,http://exoplanet.eu/catalog/kepler-5_b/
1870,Kepler-277,13.42,0.261,0.275,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-277_b/
1871,Kepler-277,13.42,0.3,0.202,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-277_c/
1708,Kepler-422,13.435,1.15,0.43,Endl et al. 2014,Endl et al. 2014,http://exoplanet.eu/catalog/kepler-422_b/
836,Kepler-23,13.438,0.285,2.7,Ford et al. 2012,Ford et al. 2012,http://exoplanet.eu/catalog/kepler-23_c/
97,Kepler-23,13.438,0.17,0.8,Ford et al. 2012,Ford et al. 2012,http://exoplanet.eu/catalog/kepler-23_b/
353,HAT-P-51,13.44,1.293,0.309,Hartman et al. 2015,Hartman et al. 2015,http://exoplanet.eu/catalog/hat-p-51_b/
3443,HATS-22,13.455,0.953,2.74,Bento et al. 2017,Bento et al. 2017,http://exoplanet.eu/catalog/hats-22_b/
2389,HATS-4,13.459,1.02,1.323,Jordan et al. 2014,Jordan et al. 2014,http://exoplanet.eu/catalog/hats-4_b/
285,Kepler-113,13.461,0.162,0.037,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-113_b/
2806,GJ 1132,13.49,0.103,0.0051,Berta-Thompson et al. 2015,Berta-Thompson et al. 2015,http://exoplanet.eu/catalog/gj_1132_b/
3112,K2-30,13.53,1.039,0.579,Johnson et al. 2016,Johnson et al. 2016,http://exoplanet.eu/catalog/k2-30_b/
2496,Kepler-1647,13.545,1.059,1.51968,Kostov et al. 2016,Kostov et al. 2016,http://exoplanet.eu/catalog/kepler-1647_%28ab%29_b/
89,Kepler-18,13.549,0.623,0.052,Cochran et al. 2011,Cochran et al. 2011,http://exoplanet.eu/catalog/kepler-18_d/
88,Kepler-18,13.549,0.49,0.054,Cochran et al. 2011,Cochran et al. 2011,http://exoplanet.eu/catalog/kepler-18_c/
2752,Kepler-18,13.549,0.178,0.022,Cochran et al. 2011,Cochran et al. 2011,http://exoplanet.eu/catalog/kepler-18_b/
312,GU Psc,13.55,1.265,11.3,Naud et al. 2014,Naud et al. 2014,http://exoplanet.eu/catalog/gu_psc_b/
2825,Kepler-453,13.552,0.553,0.00063,Welsh et al. 2014,Welsh et al. 2014,http://exoplanet.eu/catalog/kepler-453_%28ab%29_b/
30,HATS-2,13.562,1.168,1.345,Mohler-Fischer et al. 2013,Mohler-Fischer et al. 2013,http://exoplanet.eu/catalog/hats-2_b/
3419,Qatar-4,13.6,1.135,6.1,Alsubai et al. 2017,Alsubai et al. 2017,http://exoplanet.eu/catalog/qatar-4_b/
1246,CoRoT-1,13.6,1.49,1.03,Barge et al. 2008,Barge et al. 2008,http://exoplanet.eu/catalog/corot-1_b/
29,HAT-P-54,13.6,0.944,0.76,Bakos et al. 2015,Bakos et al. 2015,http://exoplanet.eu/catalog/hat-p-54_b/
3327,Kepler-435,13.643,1.99,0.84,Almenara et al. 2015,Almenara et al. 2015,http://exoplanet.eu/catalog/kepler-435_b/
1874,Kepler-279,13.659,0.384,0.155,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-279_c/
2951,Kepler-279,13.659,0.277,0.118,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-279_d/
1327,CoRoT-9,13.69,1.05,0.84,Deeg et al. 2010,Deeg et al. 2010,http://exoplanet.eu/catalog/corot-9_b/
2004,TrES-5,13.718,1.194,1.79,Mislis et al. 2015,Mandushev et al. 2011,http://exoplanet.eu/catalog/tres-5_/
1759,PH1,13.718,0.551,0.531,Schwamb et al. 2013,Schwamb et al. 2013,http://exoplanet.eu/catalog/kepler-64_%28ab%29_b/
1730,Kepler-62,13.725,0.144,0.113,Borucki et al. 2013,Borucki et al. 2013,http://exoplanet.eu/catalog/kepler-62_e/
203,Kepler-62,13.725,0.117,0.03,Borucki et al. 2013,Borucki et al. 2013,http://exoplanet.eu/catalog/kepler-62_b/
206,Kepler-62,13.725,0.126,0.11,Borucki et al. 2013,Borucki et al. 2013,http://exoplanet.eu/catalog/kepler-62_f/
204,Kepler-62,13.725,0.048,0.013,Borucki et al. 2013,Borucki et al. 2013,http://exoplanet.eu/catalog/kepler-62_c/
205,Kepler-62,13.725,0.174,0.044,Borucki et al. 2013,Borucki et al. 2013,http://exoplanet.eu/catalog/kepler-62_d/
2453,Kepler-412,13.73,1.341,0.941,Esteves et al. 2015,Deleuil et al. 2014,http://exoplanet.eu/catalog/kepler-412_b/
355,HAT-P-53,13.73,1.318,1.484,Hartman et al. 2015,Hartman et al. 2015,http://exoplanet.eu/catalog/hat-p-53_b/
1679,Kepler-114,13.738,0.143,0.009,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-114_c/
288,Kepler-114,13.738,0.226,0.012,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-114_d/
150,Kepler-15,13.758,0.96,0.66,Endl et al. 2011,Endl et al. 2011,http://exoplanet.eu/catalog/kepler-15_b/
2156,Kepler-350,13.781,0.277,0.019,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-350_c/
2157,Kepler-350,13.781,0.25,0.047,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-350_d/
538,HATS-14,13.79,1.039,1.071,Mancini et al. 2015,Mancini et al. 2015,http://exoplanet.eu/catalog/hats-14_b/
1668,Kepler-101,13.8,0.51,0.16,Bonomo et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-101_b/
256,Kepler-101,13.8,0.112,0.01,Bonomo et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-101_c/
148,Kepler-12,13.8,1.754,0.432,Esteves et al. 2015,Fortney et al. 2011,http://exoplanet.eu/catalog/kepler-12_b/
139,Kepler-9,13.803,0.842,0.252,Holman et al. 2010,Holman et al. 2010,http://exoplanet.eu/catalog/kepler-9_b/
140,Kepler-9,13.803,0.823,0.171,Holman et al. 2010,Holman et al. 2010,http://exoplanet.eu/catalog/kepler-9_c/
2513,HATS-16,13.834,1.3,3.27,Ciceri et al. 2016,Ciceri et al. 2016,http://exoplanet.eu/catalog/hats-16_b/
3319,HATS-34,13.849,1.43,0.941,de Val-Barro et al. 2016,de Val-Barro et al. 2016,http://exoplanet.eu/catalog/hats-34_b/
537,HATS-13,13.887,1.212,0.543,Mancini et al. 2015,Mancini et al. 2015,http://exoplanet.eu/catalog/hats-13_b/
1736,Kepler-8,13.9,1.416,0.59,Esteves et al. 2015,Jenkins et al. 2010,http://exoplanet.eu/catalog/kepler-8_b/
3444,HATS-23,13.901,1.86,1.47,Bento et al. 2017,Bento et al. 2017,http://exoplanet.eu/catalog/hats-23_b/
1250,CoRoT-6,13.912,1.166,2.96,Fridlund et al. 2010,Fridlund et al. 2010,http://exoplanet.eu/catalog/corot-6_b/
278,Kepler-79,13.914,0.332,0.019,Jontof-Hutter et al. 2014,Xie 2013,http://exoplanet.eu/catalog/kepler-79_c/
277,Kepler-79,13.914,0.31,0.0343,Jontof-Hutter et al. 2014,Xie 2013,http://exoplanet.eu/catalog/kepler-79_b/
279,Kepler-79,13.914,0.311,0.013,Jontof-Hutter et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-79_e/
1735,Kepler-79,13.914,0.639,0.019,Jontof-Hutter et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-79_d/
2505,HATS-28,13.934,1.194,0.672,Espinoza et al. 2016,Espinoza et al. 2016,http://exoplanet.eu/catalog/hats-28_b/
1734,Kepler-77,13.938,0.96,0.43,Gandolfi et al. 2013,Gandolfi et al. 2013,http://exoplanet.eu/catalog/kepler-77_b/
162,Kepler-38,13.941,0.384,0.384,Orosz et al. 2012,Orosz et al. 2012,http://exoplanet.eu/catalog/kepler-38_%28ab%29_b/
3326,CoRoT-22,13.944,0.435,0.038,Moutou et al. 2014,Moutou et al. 2014,http://exoplanet.eu/catalog/corot-22_b/
1893,Kepler-289,13.956,0.192,0.023,Schmitt et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-289_b/
2958,Kepler-289,13.956,1.034,0.42,Schmitt et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-289_c/
1894,Kepler-289,13.956,0.239,0.013,Schmitt et al. 2014,Schmitt et al. 2014,http://exoplanet.eu/catalog/kepler-289_d/
1711,Kepler-43,13.958,1.219,3.23,Esteves et al. 2015,Bonomo et al. 2011,http://exoplanet.eu/catalog/kepler-43_b/
