pl_hostname,pl_letter,pl_discmethod,pl_disc,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_radjerr1,pl_radjerr2,pl_dens,pl_trandep,pl_instrument,pl_insol,pl_eqt,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbpererr1,pl_orbpererr2,st_optmag,ra,dec,st_dist,st_teff,st_mass,st_rad,st_plx,gaia_plx,gaia_dist,st_pm,gaia_pm,st_radv,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_age,st_acts,st_bmvj,st_jmh2,pl_instrument,pl_telescope,rowupdate,st_nplc,pl_def_refname,pl_disc_refname,pl_pelink,st_j,st_h,st_k
Kepler-176,c,Transit,2014,4,12.75971200,0.102000,,,,0.232,0.119,-0.119,,,Kepler CCD Array,,,,,,,0.00003300,-0.00003300,14.550,294.667956,43.853259,,5232.00,,0.89,,,,20.000,,,,4.47,,,0.072,,,,0.411,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-176_c/,13.097,12.686,12.567
Kepler-176,d,Transit,2014,4,25.75197400,0.163000,,,,0.224,0.118,-0.118,,,Kepler CCD Array,,,,,,,0.00011500,-0.00011500,14.550,294.667956,43.853259,,5232.00,,0.89,,,,20.000,,,,4.47,,,0.072,,,,0.411,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-176_d/,13.097,12.686,12.567
Kepler-177,c,Transit,2013,2,49.41200000,,,,0.02400,0.633,0.331,-0.064,,,Kepler CCD Array,,,0.01100,-0.01000,0.011,-0.01,,,15.000,286.047132,45.053207,,5942.00,1.07,1.07,,,,,,,,4.41,,,-0.091,,,,0.288,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Xie 2014,Xie 2014,http://exoplanet.eu/catalog/kepler-177_c/,13.858,13.570,13.421
Kepler-178,c,Transit,2014,3,20.55280200,0.142000,,,,0.257,0.110,-0.110,,,Kepler CCD Array,,,,,,,0.00006600,-0.00006600,14.598,287.101089,46.896477,,5676.00,,1.07,,,,,,,,4.33,,,-0.188,,,,0.313,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-178_c/,13.280,12.967,12.899
Kepler-179,b,Transit,2014,2,2.73592600,0.036000,,,,0.146,0.061,-0.061,,,Kepler CCD Array,,,,,,,0.00000800,-0.00000800,14.613,298.663735,47.762043,,5302.00,,0.76,,,,,,-32.82,,4.61,,,-0.010,,,,0.405,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-179_b/,13.278,12.873,12.750
Kepler-179,c,Transit,2014,2,6.40013000,0.064000,,,,0.178,0.072,-0.072,,,Kepler CCD Array,,,,,,,0.00001700,-0.00001700,14.613,298.663735,47.762043,,5302.00,,0.76,,,,,,-32.82,,4.61,,,-0.010,,,,0.405,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-179_c/,13.278,12.873,12.750
Kepler-180,b,Transit,2014,2,13.81712400,0.109000,,,,0.134,0.060,-0.060,,,Kepler CCD Array,,,,,,,0.00015500,-0.00015500,14.350,295.571343,49.774586,,5731.00,0.84,1.06,,,,,,,,4.34,,,-0.194,,,,0.361,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-180_b/,13.057,12.696,12.685
Kepler-180,c,Transit,2014,2,41.88577500,0.229000,,,,0.269,0.120,-0.120,,,Kepler CCD Array,,,,,,,0.00022800,-0.00022800,14.350,295.571343,49.774586,,5731.00,0.84,1.06,,,,,,,,4.34,,,-0.194,,,,0.361,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-180_c/,13.057,12.696,12.685
Kepler-181,b,Transit,2014,2,3.13787300,0.040000,,,,0.113,0.055,-0.055,,,Kepler CCD Array,,,,,,,0.00001300,-0.00001300,14.707,296.151402,50.095806,,5333.00,,0.75,,,,,,,,4.62,,,-0.162,,,,0.416,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-181_b/,13.364,12.948,12.876
Kepler-181,c,Transit,2014,2,4.30214900,0.049000,,,,0.178,0.087,-0.087,,,Kepler CCD Array,,,,,,,0.00000800,-0.00000800,14.707,296.151402,50.095806,,5333.00,,0.75,,,,,,,,4.62,,,-0.162,,,,0.416,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-181_c/,13.364,12.948,12.876
Kepler-182,b,Transit,2014,2,9.82579200,0.096000,,,,0.230,0.105,-0.105,,,Kepler CCD Array,,,,,,,0.00006200,-0.00006200,14.896,289.830114,50.586246,,6250.00,1.14,1.15,,,,,,,,4.40,,,0.077,,,,0.265,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-182_b/,13.836,13.571,13.518
Kepler-182,c,Transit,2014,2,20.68434200,0.157000,,,,0.306,0.136,-0.136,,,Kepler CCD Array,,,,,,,0.00009700,-0.00009700,14.896,289.830114,50.586246,,6250.00,1.14,1.15,,,,,,,,4.40,,,0.077,,,,0.265,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-182_c/,13.836,13.571,13.518
